PCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 10, inertia 282.015
Iteration 11, inertia 281.941
Iteration 12, inertia 281.909
Iteration 13, inertia 281.893
Iteration 14, inertia 281.889
Converged at iteration 14
Initialization complete
Iteration  0, inertia 438.696
Iteration  1, inertia 304.803
Iteration  2, inertia 292.914
Iteration  3, inertia 290.709
Iteration  4, inertia 289.021
Iteration  5, inertia 286.553
Iteration  6, inertia 282.572
Iteration  7, inertia 278.595
Iteration  8, inertia 274.532
Iteration  9, inertia 271.876
Iteration 10, inertia 270.994
Iteration 11, inertia 270.663
Iteration 12, inertia 270.521
Iteration 13, inertia 270.445
Iteration 14, inertia 270.398
Iteration 15, inertia 270.347
Iteration 16, inertia 270.281
Iteration 17, inertia 270.173
Iteration 18, inertia 270.112
Iteration 19, inertia 270.031
Iteration 20, inertia 269.909
Iteration 21, inertia 269.771
Iteration 22, inertia 269.626
Iteration 23, inertia 269.441
Iteration 24, inertia 269.240
Iteration 25, inertia 269.125
Iteration 26, inertia 269.078
Iteration 27, inertia 269.056
Iteration 28, inertia 269.001
Iteration 29, inertia 268.900
Iteration 30, inertia 268.773
Iteration 31, inertia 268.473
Iteration 32, inertia 268.216
Iteration 33, inertia 267.677
Iteration 34, inertia 267.318
Iteration 35, inertia 267.163
Iteration 36, inertia 267.054
Iteration 37, inertia 266.993
Iteration 38, inertia 266.977
Iteration 39, inertia 266.965
Converged at iteration 39
Initialization complete
Iteration  0, inertia 386.461
Iteration  1, inertia 305.807
Iteration  2, inertia 293.442
Iteration  3, inertia 286.216
Iteration  4, inertia 279.810
Iteration  5, inertia 276.267
Iteration  6, inertia 275.626
Iteration  7, inertia 275.357
Iteration  8, inertia 274.972
Iteration  9, inertia 274.604
Iteration 10, inertia 274.442
Iteration 11, inertia 274.258
Iteration 12, inertia 274.044
Iteration 13, inertia 273.908
Iteration 14, inertia 273.807
Iteration 15, inertia 273.651
Iteration 16, inertia 273.316
Iteration 17, inertia 272.980
Iteration 18, inertia 272.617
Iteration 19, inertia 272.176
Iteration 20, inertia 271.770
Iteration 21, inertia 271.530
Iteration 22, inertia 271.442
Iteration 23, inertia 271.382
Iteration 24, inertia 271.283
Iteration 25, inertia 271.125
Iteration 26, inertia 270.964
Iteration 27, inertia 270.837
Iteration 28, inertia 270.733
Iteration 29, inertia 270.607
Iteration 30, inertia 270.539
Iteration 31, inertia 270.498
Iteration 32, inertia 270.457
Iteration 33, inertia 270.411
Iteration 34, inertia 270.351
Iteration 35, inertia 270.262
Iteration 36, inertia 270.181
Iteration 37, inertia 270.090
Iteration 38, inertia 270.025
Iteration 39, inertia 269.908
Iteration 40, inertia 269.814
Iteration 41, inertia 269.639
Iteration 42, inertia 269.418
Iteration 43, inertia 269.226
Iteration 44, inertia 269.116
Iteration 45, inertia 269.043
Iteration 46, inertia 268.980
Iteration 47, inertia 268.917
Iteration 48, inertia 268.830
Iteration 49, inertia 268.545
Iteration 50, inertia 268.291
Iteration 51, inertia 267.800
Iteration 52, inertia 267.413
Iteration 53, inertia 267.201
Iteration 54, inertia 267.067
Iteration 55, inertia 267.012
Iteration 56, inertia 266.977
Iteration 57, inertia 266.965
Converged at iteration 57
Initialization complete
Iteration  0, inertia 413.753
Iteration  1, inertia 282.805
Iteration  2, inertia 273.155
Iteration  3, inertia 269.928
Iteration  4, inertia 268.375
Iteration  5, inertia 267.665
Iteration  6, inertia 267.296
Iteration  7, inertia 267.134
Iteration  8, inertia 267.061
Iteration  9, inertia 267.032
Iteration 10, inertia 267.017
Iteration 11, inertia 267.007
Iteration 12, inertia 266.996
Iteration 13, inertia 266.988
Converged at iteration 13
Initialization complete
Iteration  0, inertia 433.615
Iteration  1, inertia 307.768
Iteration  2, inertia 289.037
Iteration  3, inertia 283.803
Iteration  4, inertia 281.789
Iteration  5, inertia 280.579
Iteration  6, inertia 278.833
Iteration  7, inertia 276.350
Iteration  8, inertia 274.592
Iteration  9, inertia 273.944
Iteration 10, inertia 273.551
Iteration 11, inertia 273.163
Iteration 12, inertia 272.668
Iteration 13, inertia 271.882
Iteration 14, inertia 270.462
Iteration 15, inertia 269.733
Iteration 16, inertia 269.435
Iteration 17, inertia 269.249
Iteration 18, inertia 269.155
Iteration 19, inertia 269.066
Iteration 20, inertia 269.022
Iteration 21, inertia 268.968
Iteration 22, inertia 268.863
Iteration 23, inertia 268.695
Iteration 24, inertia 268.401
Iteration 25, inertia 268.124
Iteration 26, inertia 267.651
Iteration 27, inertia 267.313
Iteration 28, inertia 267.163
Iteration 29, inertia 267.054
Iteration 30, inertia 266.993
Iteration 31, inertia 266.977
Iteration 32, inertia 266.965
Converged at iteration 32
Initialization complete
