NMFReducer Reduction and Clustering
----------------------------------------
Initialization complete
Converged at iteration 23
Initialization complete
Iteration  0, inertia 675.828
Iteration  1, inertia 493.364
Iteration  2, inertia 478.497
Iteration  3, inertia 474.004
Iteration  4, inertia 472.688
Iteration  5, inertia 472.145
Iteration  6, inertia 471.909
Iteration  7, inertia 471.640
Iteration  8, inertia 471.477
Iteration  9, inertia 471.383
Iteration 10, inertia 471.302
Iteration 11, inertia 471.248
Iteration 12, inertia 471.211
Iteration 13, inertia 471.205
Converged at iteration 13
Initialization complete
Iteration  0, inertia 715.965
Iteration  1, inertia 494.328
Iteration  2, inertia 478.700
Iteration  3, inertia 475.025
Iteration  4, inertia 472.914
Iteration  5, inertia 472.359
Iteration  6, inertia 472.019
Iteration  7, inertia 471.721
Iteration  8, inertia 471.553
Iteration  9, inertia 471.334
Iteration 10, inertia 471.108
Iteration 11, inertia 470.951
Iteration 12, inertia 470.836
Iteration 13, inertia 470.798
Iteration 14, inertia 470.744
Iteration 15, inertia 470.727
Iteration 16, inertia 470.692
Iteration 17, inertia 470.685
Converged at iteration 17
Initialization complete
Iteration  0, inertia 709.843
Iteration  1, inertia 512.644
Iteration  2, inertia 491.051
Iteration  3, inertia 475.937
Iteration  4, inertia 468.679
Iteration  5, inertia 465.498
Iteration  6, inertia 464.247
Iteration  7, inertia 463.719
Iteration  8, inertia 463.516
Iteration  9, inertia 463.368
Iteration 10, inertia 463.362
Converged at iteration 10
Initialization complete
Iteration  0, inertia 730.479
Iteration  1, inertia 524.706
Iteration  2, inertia 490.717
Iteration  3, inertia 488.346
Iteration  4, inertia 487.545
Iteration  5, inertia 487.019
Iteration  6, inertia 486.702
Iteration  7, inertia 486.461
Iteration  8, inertia 486.181
Iteration  9, inertia 485.783
Iteration 10, inertia 485.652
Iteration 11, inertia 485.517
Iteration 12, inertia 485.202
Iteration 13, inertia 484.422
Iteration 14, inertia 482.891
Iteration 15, inertia 480.229
Iteration 16, inertia 477.219
Iteration 17, inertia 474.778
Iteration 18, inertia 473.392
Iteration 19, inertia 472.593
Iteration 20, inertia 472.222
Iteration 21, inertia 471.995
Iteration 22, inertia 471.892
Iteration 23, inertia 471.867
Iteration 24, inertia 471.862
Converged at iteration 24
Post-Reduction   0.46s    463   0.652   0.671   0.661   0.536   0.648    0.285
