ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  2, inertia 4789.437
Iteration  3, inertia 4765.201
Iteration  4, inertia 4752.705
Iteration  5, inertia 4736.087
Iteration  6, inertia 4724.444
Iteration  7, inertia 4714.876
Iteration  8, inertia 4701.030
Iteration  9, inertia 4682.961
Iteration 10, inertia 4667.474
Iteration 11, inertia 4657.499
Iteration 12, inertia 4653.342
Iteration 13, inertia 4651.060
Iteration 14, inertia 4649.668
Iteration 15, inertia 4649.596
Iteration 16, inertia 4649.557
Converged at iteration 16
Initialization complete
Iteration  0, inertia 7912.922
Iteration  1, inertia 4962.647
Iteration  2, inertia 4871.937
Iteration  3, inertia 4824.809
Iteration  4, inertia 4786.784
Iteration  5, inertia 4772.249
Iteration  6, inertia 4757.907
Iteration  7, inertia 4746.278
Iteration  8, inertia 4733.314
Iteration  9, inertia 4703.267
Iteration 10, inertia 4676.301
Iteration 11, inertia 4663.445
Iteration 12, inertia 4656.250
Iteration 13, inertia 4652.008
Iteration 14, inertia 4650.066
Iteration 15, inertia 4648.607
Iteration 16, inertia 4647.903
Iteration 17, inertia 4647.454
Iteration 18, inertia 4647.302
Iteration 19, inertia 4647.196
Iteration 20, inertia 4647.023
Converged at iteration 20
Pre-Reduction   1.29s    4647   0.742   0.751   0.746   0.669   0.739    0.182
----------------------------------------
Initialization complete
Iteration  0, inertia 525.785
Iteration  1, inertia 386.511
Iteration  2, inertia 365.418
Iteration  3, inertia 358.198
Iteration  4, inertia 356.021
Iteration  5, inertia 353.717
Iteration  6, inertia 352.639
Iteration  7, inertia 352.022
Iteration  8, inertia 351.729
Iteration  9, inertia 351.613
Iteration 10, inertia 351.572
Iteration 11, inertia 351.570
Converged at iteration 11
Initialization complete
Iteration  0, inertia 535.580
Iteration  1, inertia 369.929
Iteration  2, inertia 362.385
Iteration  3, inertia 358.662
Iteration  4, inertia 356.341
Iteration  5, inertia 352.850
Iteration  6, inertia 348.918
Iteration  7, inertia 346.186
Iteration  8, inertia 344.863
Iteration  9, inertia 343.846
Iteration 10, inertia 343.312
Iteration 11, inertia 342.987
Iteration 12, inertia 342.842
Iteration 13, inertia 342.766
Iteration 14, inertia 342.690
Iteration 15, inertia 342.672
Iteration 16, inertia 342.655
Iteration 17, inertia 342.645
Iteration 18, inertia 342.641
Converged at iteration 18
Initialization complete
Iteration  0, inertia 487.615
Iteration  1, inertia 362.419
Iteration  2, inertia 351.435
Iteration  3, inertia 346.312
Iteration  4, inertia 342.173
Iteration  5, inertia 340.724
Iteration  6, inertia 340.301
Iteration  7, inertia 340.009
Iteration  8, inertia 339.869
Iteration  9, inertia 339.753
Iteration 10, inertia 339.598
Iteration 11, inertia 339.465
Iteration 12, inertia 339.412
