RCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 13, inertia 223.335
Iteration 14, inertia 223.111
Iteration 15, inertia 222.962
Iteration 16, inertia 222.894
Iteration 17, inertia 222.861
Iteration 18, inertia 222.836
Iteration 19, inertia 222.829
Iteration 20, inertia 222.822
Iteration 21, inertia 222.810
Iteration 22, inertia 222.803
Iteration 23, inertia 222.793
Iteration 24, inertia 222.792
Converged at iteration 24
Post-Reduction   0.75s    218   0.471   0.476   0.474   0.370   0.466    0.180
